x,y,z
453.2,277.9,-14.2
453.2,278.3,-14.2
452.3,278.3,-11.2
447.9,264.8,-4.9
447.9,265.2,-4.8
447.0,265.8,-4.9
447.0,266.2,-4.8
436.2,268.7,-5.6
436.2,269.2,-5.6
436.2,269.6,-5.5
435.3,270.1,-5.6
435.3,270.5,-5.5
434.4,270.1,-5.6
434.4,270.5,-5.6
434.4,271.0,-5.6
433.5,270.5,-5.7
433.6,271.0,-5.6
432.2,270.6,-5.8
430.8,275.2,-5.5
415.0,275.5,-7.0
414.6,275.5,-7.0
415.5,275.5,-6.9
430.4,275.2,-5.5
431.3,275.2,-5.5
431.3,274.7,-5.5
429.5,274.7,-4.7
428.1,274.7,-4.8
425.9,274.8,-5.0
413.3,275.1,-6.2
413.7,275.1,-6.1
427.2,274.8,-4.9
427.7,274.8,-4.8
428.6,274.7,-4.7
429.1,274.7,-4.7
430.4,274.7,-5.6
430.4,273.4,-5.7
430.4,271.5,-5.9
430.4,271.1,-5.9
430.4,272.4,-5.8
430.4,272.9,-5.8
430.4,273.8,-5.7
430.4,274.3,-5.6
428.6,274.2,-4.8
427.2,274.3,-4.9
425.0,274.2,-4.1
424.6,274.2,-4.2
425.9,274.2,-4.0
426.4,274.2,-4.0
426.3,274.3,-5.0
426.8,274.3,-5.0
427.7,274.3,-4.9
428.1,274.2,-4.8
429.1,274.2,-4.7
429.1,272.8,-4.9
429.1,273.3,-4.8
429.1,273.8,-4.8
428.1,273.4,-4.9
428.1,273.8,-4.9
427.2,273.4,-5.0
427.2,273.9,-5.0
426.3,273.4,-5.1
426.3,273.9,-5.0
425.0,273.3,-4.2
425.0,273.8,-4.2
424.1,273.3,-4.3
424.1,273.8,-4.2
423.2,273.4,-4.4
423.2,273.9,-4.3
402.5,273.8,-6.3
396.4,274.4,-5.8
395.0,274.4,-5.9
393.7,274.4,-6.1
392.3,274.4,-6.2
390.9,274.5,-6.3
391.4,274.5,-6.3
391.9,274.5,-6.2
392.8,274.4,-6.2
393.2,274.4,-6.1
394.1,274.4,-6.0
394.6,274.4,-6.0
395.5,274.4,-5.9
395.9,274.4,-5.9
396.8,274.3,-5.8
395.0,274.0,-6.0
393.7,274.0,-6.1
392.3,274.1,-6.2
390.9,274.1,-6.4
367.3,274.5,-7.6
366.0,274.5,-7.7
357.5,274.7,-8.5
